1,Carlos,Ramirez,PEDIATRIA
2,Ana,Gomez,CARDIOLOGIA
3,Luis,Fernandez,GENERAL
4,Mariana,Torres,URGENCIAS
5,Javier,Castro,PEDIATRIA
6,Paula,Martinez,CARDIOLOGIA
7,Andres,Rojas,GENERAL
8,Sofia,Herrera,URGENCIAS
9,Diego,Navarro,PEDIATRIA
10,Valeria,Suarez,CARDIOLOGIA
11,Fernando,Mendoza,GENERAL
12,Lucia,Ortega,URGENCIAS
13,Ricardo,Vega,PEDIATRIA
14,Camila,Paredes,CARDIOLOGIA
15,Martin,Silva,GENERAL
16,Daniela,Rivera,URGENCIAS
17,Oscar,Guerrero,PEDIATRIA
18,Natalia,Cruz,CARDIOLOGIA
19,Esteban,Mejia,GENERAL
20,Juliana,Reyes,URGENCIAS
